ページ名,ファイルパス,ページタイトル,セクション,機能・要件,データ項目,操作・インタラクション,遷移先
工事リスト,user_project_list.html,工事管理,左カラム（案件一覧）,工事名リスト表示,工事名（リンク）,クリックで詳細遷移,user_project_detail.html
工事リスト,user_project_list.html,工事管理,中央カラム（メイン）,ステータスタブによる絞り込み,すべて/案件登録済み/工事中/工事完了/出来方完了（件数表示）,タブ切り替え,-
工事リスト,user_project_list.html,工事管理,中央カラム（メイン）,パネル/リスト表示切替,パネルビュー・リストビュー,切替ボタンクリック,-
工事リスト,user_project_list.html,工事管理,中央カラム（パネル）,工事カード表示,工事名/ステータスバッジ/工事画像/工事場所/工事種類/担当者/契約日/工事開始日/完了予定日/進捗率/未読メッセージ数/状況,カードクリックで詳細遷移,user_project_detail.html
工事リスト,user_project_list.html,工事管理,中央カラム（リスト）,工事テーブル表示,状況/工事名/工事種類/工事場所/担当者/完了予定日/未読数,行クリックで詳細遷移,user_project_detail.html
工事リスト,user_project_list.html,工事管理,右カラム,お知らせ・通知タブ,お知らせリスト/通知リスト（未読バッジ）,タブ切り替え,-
工事リスト,user_project_list.html,工事管理,ヘッダー,新規作成ボタン,-,ボタンクリック,user_project_create.html
新規工事登録,user_project_create.html,新規工事登録,左ナビゲーション,セクションナビ（スクロールスパイ）,工事概要/スケジュール/図面登録/予算/社内担当者/外部協力会社/資料,クリックで該当セクションへスクロール,-
新規工事登録,user_project_create.html,新規工事登録,左ナビゲーション,登録ボタン・一覧に戻るボタン,-,クリックで登録処理/一覧遷移,user_project_list.html
新規工事登録,user_project_create.html,新規工事登録,工事概要セクション,入力フォーム,工事名（必須）/工事種類（必須・セレクト）/工事場所（必須）/発注者/契約金額（円）/工期開始日/工期終了日/責任者（社内）/現場代理人/備考（テキストエリア）,入力・選択,-
新規工事登録,user_project_create.html,新規工事登録,工事概要セクション,基幹システムから取り込みボタン,-,クリックでAPI呼び出し（ダミー）,-
新規工事登録,user_project_create.html,新規工事登録,スケジュールセクション,スケジュールテーブル,工種/担当業者/開始予定日/終了予定日,行追加・削除,-
新規工事登録,user_project_create.html,新規工事登録,スケジュールセクション,基幹システムから取り込みボタン,-,クリックでAPI呼び出し（ダミー）,-
新規工事登録,user_project_create.html,新規工事登録,図面登録セクション,ファイルアップロード,画像・PDF対応,ドラッグ＆ドロップ/ファイル選択,-
新規工事登録,user_project_create.html,新規工事登録,予算セクション,予算テーブル,工種/仕様/単位/数量/単価/金額（自動計算）,行追加・削除・入力,-
