ページ名,ファイルパス,ページタイトル,セクション,機能・要件,データ項目,操作・インタラクション,遷移先
工事管理,site_project_list.html,工事管理,ヘッダー,ページタイトル,工事管理,-,-
工事管理,site_project_list.html,工事管理,ステータスタブ,ステータス別フィルタリング（横スクロールボタン型）,すべて/工事中/工事完了/出来方完了（件数表示）,タブクリック,-
工事管理,site_project_list.html,工事管理,パネルビュー,工事カード表示（1カラム縦並び）,工事名/ステータスバッジ/工事画像（左）/工事情報（右）/工事場所/工事種類/担当者/契約日/工事開始日/完了予定日/進捗率/未読メッセージ数,カードクリックで詳細遷移,site_project_detail.html
工事管理,site_project_list.html,工事管理,リストビュー,工事テーブル表示,状況/工事名/工事種類/工事場所/担当者/完了予定日/未読数,行クリックで詳細遷移,site_project_detail.html
案件トップ,site_project_detail.html,案件管理（概要）,工事概要カード,工事基本情報表示,工事種類/責任者（社内）/状況（ドロップダウン・保存ボタン）/協力業者リスト（業者名・担当工種・責任者・電話番号）,状況変更・保存,-
案件トップ,site_project_detail.html,案件管理（概要）,予算・実績カード,予算実績サマリー表示（1カラム縦並び）,項目/予算/実績/進捗率（直接工事費・経費・合計）/進捗バー,カードクリックで予算ページ遷移,site_project_detail_budget.html
案件トップ,site_project_detail.html,案件管理（概要）,工事日誌カード,直近2日間の工事日誌表示（1カラム縦並び）,工事日誌新規作成ボタン（緑グラデーション）/日付/業者/工種/予算/当日実績,新規作成ボタンクリック/カードクリックで工事日誌一覧遷移,site_project_detail_report_create.html / site_project_detail_report.html
案件トップ,site_project_detail.html,案件管理（概要）,スケジュールカード,ガントチャート（簡易版）,作業項目/区分（予定・実績）/3月カレンダー/凡例,カードクリックでスケジュールページ遷移,site_project_detail_schedule.html
工事日誌一覧,site_project_detail_report.html,案件管理（工事日誌）,メインコンテンツ,工事日誌リスト表示（日付降順）,日付ヘッダー/業者名/工種/予算/当日実績（1社2行構成：工種行・経費行）,行クリックで工事日誌詳細遷移,site_project_detail_report_detail.html
工事日誌一覧,site_project_detail_report.html,案件管理（工事日誌）,フッター,ページネーション,ページ番号/前後ボタン,ページ切り替え,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,パンくず,階層ナビゲーション,工事日誌一覧 > 工事日誌詳細,リンククリック,site_project_detail_report.html
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,工事日誌ヘッダー,基本情報表示,社内工事名/協力会社/工事日誌タイトル/担当者名/確認者/作業日時/天候/作業時間/気温,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,スキャンデータ自動算出,3Dスキャナによる出来高自動検出,面積差分（㎡）/体積差分（㎥）/延長差分（m）/数量差分（t）/スキャン日時/解析完了日時/AI解析済みバッジ,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,作業内容・出来高,作業詳細テーブル,工種/作業内容/作業箇所/単位/出来高,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,使用機械・作業員,機械・人員テーブル,使用機械名/台数/協力業者名/人数,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,搬入材料,材料テーブル,品名/規格・寸法/単位/台帳数量/受入材料名/数量,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,使用計測機器,計測機器バッジ,巻尺/外気温度計/コンパクトメーター/路面温度計/3Dスキャナ（自社アプリ）,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,日常点検結果,点検ラジオボタン,異常なし/異常あり,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,記事,特記事項テキスト,自由記述テキスト,-,-
工事日誌詳細,site_project_detail_report_detail.html,案件管理（工事日誌詳細）,作業写真,写真プレースホルダー,着工前/施工中/完了後/3Dスキャン,-,-
